condorcet winner: REBECCA KAPLAN,CAROL LEE TOLBERT,IGNACIO DE LA FUENTE,MICK STORM,REBECCA KAPLAN,THERESA ANDERSON,writeIns
CAROL LEE TOLBERT,,50115.00,69839.00,39228.00,65426.00,74853.00
IGNACIO DE LA FUENTE,63805.00,,74797.00,51116.00,73306.00,77340.00
MICK STORM,17362.00,18459.00,,15882.00,22211.00,27295.00
REBECCA KAPLAN,83793.00,78941.00,95486.00,,91808.00,98012.00
THERESA ANDERSON,26004.00,32326.00,39940.00,24532.00,,44910.00
writeIns,2066.00,1663.00,2350.00,1586.00,2309.00,
