condorcet winner: JESSE ARREGUÍN,BEN GOULD,BERNT RAINER WAHL,GUY ''MIKE'' LEE,JESSE ARREGUÍN,KRISS WORTHINGTON,LAURIE CAPITELLI,NAOMI D. PETE,ZACHARY RUNNINGWOLF
BEN GOULD,,62.74,60.34,11.45,24.53,16.29,84.61,56.85
BERNT RAINER WAHL,37.26,,47.37,9.06,16.48,11.80,77.63,43.38
GUY ''MIKE'' LEE,39.66,52.63,,6.16,14.68,14.58,78.87,45.51
JESSE ARREGUÍN,88.55,90.94,93.84,,81.43,60.95,97.03,91.75
KRISS WORTHINGTON,75.47,83.52,85.32,18.57,,39.16,94.15,80.65
LAURIE CAPITELLI,83.71,88.20,85.42,39.05,60.84,,95.82,84.61
NAOMI D. PETE,15.39,22.37,21.13,2.97,5.85,4.18,,18.42
ZACHARY RUNNINGWOLF,43.15,56.62,54.49,8.25,19.35,15.39,81.58,
