condorcet winner: MALIA COHEN,ASHLEY H RHODES,CHRIS JACKSON,DEWITT M. LACY,DIANE WESLEY SMITH,ED DONALDSON,ELLSWORTH ''ELL'' JENNISON,ERIC SMITH,GEOFFREA MORRIS,JACKIE NORMAN,JAMES M. CALLOWAY,KRISTINE ENEA,LYNETTE SWEET,M.J. MARIE FRANKLIN,MALIA COHEN,MARLENE TRAN,NYESE JOSHUA,"RODNEY HAMPTON, JR.",STEPHEN WEBER,STEVE MOSS,TERESA DUQUE,TONY KELLY,writeIns
ASHLEY H RHODES,,597.00,612.00,585.00,627.00,628.00,623.00,617.00,604.00,591.00,619.00,567.00,632.00,557.00,593.00,626.00,597.00,605.00,600.00,613.00,607.00,634.00
CHRIS JACKSON,3764.00,,2964.00,3711.00,3754.00,3775.00,3653.00,3737.00,3754.00,3694.00,3692.00,3350.00,3775.00,3268.00,3474.00,3763.00,3744.00,3750.00,3442.00,3602.00,2832.00,3788.00
DEWITT M. LACY,3751.00,3471.00,,3710.00,3733.00,3755.00,3633.00,3730.00,3752.00,3698.00,3622.00,3394.00,3751.00,3343.00,3618.00,3744.00,3724.00,3719.00,3453.00,3674.00,2739.00,3768.00
DIANE WESLEY SMITH,1103.00,1102.00,1120.00,,1158.00,1164.00,1145.00,1143.00,1124.00,1106.00,1140.00,967.00,1163.00,946.00,1134.00,1157.00,1135.00,1128.00,1098.00,1142.00,1138.00,1173.00
ED DONALDSON,728.00,588.00,686.00,730.00,,737.00,714.00,708.00,732.00,715.00,713.00,629.00,735.00,677.00,703.00,733.00,710.00,722.00,671.00,725.00,600.00,740.00
ELLSWORTH ''ELL'' JENNISON,270.00,268.00,268.00,266.00,279.00,,274.00,271.00,277.00,263.00,265.00,268.00,272.00,249.00,257.00,266.00,262.00,267.00,244.00,254.00,253.00,281.00
ERIC SMITH,1821.00,1678.00,1358.00,1809.00,1807.00,1825.00,,1811.00,1819.00,1802.00,1741.00,1661.00,1816.00,1250.00,1778.00,1820.00,1806.00,1804.00,1591.00,1790.00,1613.00,1831.00
GEOFFREA MORRIS,858.00,821.00,800.00,858.00,851.00,868.00,841.00,,858.00,836.00,848.00,751.00,865.00,736.00,807.00,851.00,839.00,866.00,820.00,837.00,835.00,874.00
JACKIE NORMAN,628.00,621.00,633.00,590.00,653.00,655.00,652.00,641.00,,637.00,634.00,529.00,659.00,537.00,628.00,658.00,651.00,645.00,635.00,632.00,639.00,665.00
JAMES M. CALLOWAY,1161.00,1117.00,1134.00,1136.00,1178.00,1192.00,1167.00,1169.00,1183.00,,1165.00,1043.00,1186.00,1066.00,1074.00,1186.00,1163.00,1168.00,1095.00,1135.00,1143.00,1199.00
KRISTINE ENEA,1440.00,1390.00,1358.00,1430.00,1452.00,1453.00,1417.00,1448.00,1456.00,1426.00,,1321.00,1458.00,1327.00,1377.00,1457.00,1450.00,1417.00,1225.00,1409.00,1291.00,1465.00
LYNETTE SWEET,4275.00,4039.00,4025.00,4155.00,4238.00,4298.00,4235.00,4218.00,4251.00,4220.00,4180.00,,4295.00,3666.00,4095.00,4287.00,4246.00,4271.00,3864.00,4144.00,4017.00,4304.00
M.J. MARIE FRANKLIN,370.00,359.00,350.00,362.00,372.00,374.00,372.00,368.00,373.00,358.00,365.00,342.00,,355.00,311.00,367.00,368.00,374.00,350.00,295.00,357.00,381.00
MALIA COHEN,4515.00,4285.00,3942.00,4491.00,4530.00,4576.00,4418.00,4503.00,4533.00,4515.00,4461.00,3952.00,4572.00,,4379.00,4555.00,4545.00,4534.00,4211.00,4406.00,4321.00,4583.00
MARLENE TRAN,3526.00,3422.00,3490.00,3533.00,3557.00,3555.00,3534.00,3544.00,3560.00,3506.00,3499.00,3449.00,3545.00,3442.00,,3538.00,3539.00,3535.00,3371.00,2769.00,3445.00,3562.00
NYESE JOSHUA,450.00,447.00,431.00,438.00,451.00,443.00,455.00,442.00,448.00,428.00,442.00,419.00,444.00,418.00,420.00,,442.00,445.00,424.00,418.00,395.00,459.00
"RODNEY HAMPTON, JR.",815.00,771.00,786.00,803.00,774.00,833.00,803.00,787.00,814.00,795.00,818.00,672.00,825.00,723.00,812.00,822.00,,815.00,771.00,803.00,816.00,840.00
STEPHEN WEBER,825.00,801.00,821.00,827.00,834.00,840.00,834.00,847.00,843.00,809.00,789.00,774.00,848.00,785.00,778.00,841.00,831.00,,707.00,810.00,767.00,852.00
STEVE MOSS,4018.00,3808.00,3751.00,3984.00,4006.00,4022.00,3874.00,4003.00,4013.00,3965.00,3855.00,3652.00,4018.00,3693.00,3775.00,4019.00,4010.00,3964.00,,3827.00,3425.00,4032.00
TERESA DUQUE,2880.00,2797.00,2847.00,2877.00,2876.00,2877.00,2870.00,2863.00,2881.00,2862.00,2849.00,2819.00,2868.00,2793.00,1836.00,2871.00,2874.00,2872.00,2751.00,,2828.00,2888.00
TONY KELLY,4102.00,3741.00,3840.00,4106.00,4115.00,4116.00,3949.00,4116.00,4116.00,4084.00,3979.00,3920.00,4119.00,3879.00,3824.00,4097.00,4114.00,4075.00,3500.00,3974.00,,4132.00
writeIns,52.00,48.00,47.00,50.00,52.00,52.00,52.00,51.00,52.00,52.00,50.00,45.00,52.00,47.00,48.00,50.00,51.00,52.00,49.00,46.00,44.00,
