"condorcet winner: Dexter, Emily R.","Allen, Ruth Ryan","Bowman, Mannika L.","Dawson, Bernette J.","Dexter, Emily R.","Fantini, Alfred B.","Kadete, Elechi M.","Lim, Christopher","Rojas Villareal, Jose Luis","Weinstain, Rachel","Weinstein, David J.","Wilson, Ayesha",writeIns
"Allen, Ruth Ryan",,3081.00,3708.00,2922.00,3263.00,3937.00,3813.00,3738.00,3120.00,3714.00,2871.00,5138.00
"Bowman, Mannika L.",8946.00,,8727.00,7078.00,7915.00,8961.00,8866.00,8624.00,7844.00,8667.00,7405.00,10121.00
"Dawson, Bernette J.",4648.00,3336.00,,3683.00,4404.00,4771.00,4597.00,4463.00,3855.00,4479.00,3351.00,5901.00
"Dexter, Emily R.",9873.00,7171.00,9364.00,,9073.00,9757.00,9707.00,9297.00,8726.00,9437.00,8400.00,11068.00
"Fantini, Alfred B.",7617.00,5423.00,7484.00,5153.00,,7859.00,7572.00,7505.00,6920.00,7521.00,6770.00,9006.00
"Kadete, Elechi M.",4806.00,3465.00,4293.00,3118.00,4228.00,,4595.00,4055.00,3926.00,4466.00,3124.00,5990.00
"Lim, Christopher",4895.00,3697.00,4392.00,3252.00,4186.00,4533.00,,4370.00,4076.00,4606.00,3750.00,6149.00
"Rojas Villareal, Jose Luis",5938.00,4405.00,5385.00,3834.00,5199.00,5161.00,5310.00,,4865.00,5485.00,4185.00,7106.00
"Weinstain, Rachel",7547.00,5894.00,6993.00,5344.00,6754.00,7276.00,7096.00,6861.00,,6885.00,6021.00,8763.00
"Weinstein, David J.",5504.00,4238.00,5000.00,3479.00,4806.00,4878.00,4926.00,4440.00,4312.00,,4228.00,6693.00
"Wilson, Ayesha",8728.00,6697.00,8057.00,6403.00,7807.00,8046.00,8208.00,7725.00,7059.00,7857.00,,9731.00
writeIns,103.00,101.00,113.00,97.00,99.00,110.00,113.00,107.00,100.00,105.00,92.00,
