"condorcet winner: Curry, Glenn Chip","Curry, Glenn Chip","Pattavina, Charles F.","Stanicki, Robyn M."
"Curry, Glenn Chip",,3206.00,2807.00
"Pattavina, Charles F.",1877.00,,2127.00
"Stanicki, Robyn M.",2212.00,2665.00,
