condorcet winner: AHSHA SAFAI,AHSHA SAFAI,BERTA HERNANDEZ,FRANCISCO HERRERA,KIM ALVARENGA,MAGDALENA DE GUZMAN
AHSHA SAFAI,,13749.00,13352.00,11222.00,13277.00
BERTA HERNANDEZ,6202.00,,6408.00,5645.00,6446.00
FRANCISCO HERRERA,7812.00,9460.00,,6520.00,8778.00
KIM ALVARENGA,10809.00,13945.00,13601.00,,13523.00
MAGDALENA DE GUZMAN,7023.00,8844.00,8248.00,6985.00,
