condorcet winner: Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,writeIns
Harvey Curley,,2809.00,2490.00,1968.00,3838.00
Larry Edwards,1399.00,,1446.00,962.00,3047.00
Mary Hall-Rayford,2028.00,2303.00,,1489.00,3377.00
Sarah A. Lucido,2690.00,3478.00,3033.00,,4153.00
writeIns,61.00,75.00,61.00,54.00,
