condorcet winner: Barbara A. Johnson,Barbara A. Johnson,Grant Cermak,Marcus Harcus,Troy Parker,writeIns
Barbara A. Johnson,,74.15,68.13,58.16,99.32
Grant Cermak,25.85,,39.44,27.54,98.65
Marcus Harcus,31.87,60.56,,33.55,98.75
Troy Parker,41.84,72.46,66.45,,99.14
writeIns,0.68,1.35,1.25,0.86,
