condorcet winner: SUSAN WENGRAF,PHOEBE SORGEN,SUSAN WENGRAF,writeIns
PHOEBE SORGEN,,4.95,69.44
SUSAN WENGRAF,95.05,,98.12
writeIns,30.56,1.88,
