condorcet winner: BLONG YANG,BLONG YANG,BRETT BUCKNER,IAN ALEXANDER,KALE R. SEVERSON,writeIns
BLONG YANG,,64.71,56.92,84.90,99.06
BRETT BUCKNER,35.29,,43.46,77.18,98.35
IAN ALEXANDER,43.08,56.54,,79.44,98.26
KALE R. SEVERSON,15.10,22.82,20.56,,95.92
writeIns,0.94,1.65,1.74,4.08,
