condorcet winner: DAVID CAMPOS,DAVID CAMPOS,ERIC QUEZADA,ERIC STOREY,EVA ROYALE,MARK SANCHEZ,TOM VALTIN,VERN MATHEWS,writeIns
DAVID CAMPOS,,14156.00,18999.00,18224.00,12637.00,18712.00,19112.00,19297.00
ERIC QUEZADA,8706.00,,16174.00,15441.00,10096.00,15944.00,16266.00,16386.00
ERIC STOREY,1782.00,2047.00,,1995.00,1784.00,2100.00,2101.00,2354.00
EVA ROYALE,3877.00,4739.00,5809.00,,4073.00,5757.00,5924.00,6149.00
MARK SANCHEZ,10837.00,12526.00,18390.00,17517.00,,18203.00,18470.00,18673.00
TOM VALTIN,2364.00,2959.00,3397.00,3212.00,2385.00,,3513.00,3728.00
VERN MATHEWS,1293.00,1493.00,1480.00,1366.00,1333.00,1504.00,,1746.00
writeIns,62.00,70.00,85.00,89.00,68.00,87.00,89.00,
