condorcet winner: NORMAN YEE,BEN MATRANGA,JOEL ENGARDIO,JOHN FARRELL,MIKE YOUNG,NORMAN YEE
BEN MATRANGA,,12975.00,14950.00,16576.00,12505.00
JOEL ENGARDIO,13406.00,,14730.00,16209.00,12815.00
JOHN FARRELL,10700.00,11361.00,,13455.00,11200.00
MIKE YOUNG,7921.00,8162.00,7324.00,,7197.00
NORMAN YEE,18141.00,17692.00,19085.00,19911.00,
