condorcet winner: RIGEL ROBINSON,AIDAN HILL,CECILIA ''CES'' ROSALES,RIGEL ROBINSON
AIDAN HILL,,548.00,412.00
CECILIA ''CES'' ROSALES,1927.00,,1053.00
RIGEL ROBINSON,2234.00,1725.00,
