condorcet winner: Tom Ammiano,James Boris Perez,Lucrecia Bermudez,Miguel Bustos,Renee Saucedo,Steve Zeltzer,Tom Ammiano,writeIns
James Boris Perez,,2514.00,1708.00,2186.00,2236.00,1827.00,2778.00
Lucrecia Bermudez,6710.00,,5126.00,3180.00,6708.00,3315.00,6922.00
Miguel Bustos,12756.00,12083.00,,8176.00,12729.00,6940.00,13262.00
Renee Saucedo,16257.00,15321.00,13136.00,,16088.00,7917.00,16585.00
Steve Zeltzer,2971.00,3017.00,2369.00,2348.00,,1766.00,3261.00
Tom Ammiano,18529.00,18086.00,16219.00,14720.00,18480.00,,18843.00
writeIns,21.00,22.00,21.00,18.00,22.00,18.00,
