condorcet winner: SHAMANN WALTON,ASALE CHANDLER,GLORIA BERRY,SHAMANN WALTON,THEO ELLINGTON,TONY KELLY,UZURI PEASE-GREENE,writeIns
ASALE CHANDLER,,2383.00,2037.00,2172.00,2302.00,2597.00,2963.00
GLORIA BERRY,3491.00,,2609.00,2735.00,3197.00,3658.00,4160.00
SHAMANN WALTON,15558.00,15400.00,,12617.00,13023.00,14600.00,15879.00
THEO ELLINGTON,12211.00,12107.00,6740.00,,10096.00,11542.00,12590.00
TONY KELLY,10864.00,10763.00,7624.00,8471.00,,10450.00,11245.00
UZURI PEASE-GREENE,6716.00,6653.00,4351.00,4944.00,4074.00,,7014.00
writeIns,60.00,59.00,41.00,44.00,54.00,57.00,
