condorcet winner: Lisa Goodman,Janne Flisrand,Joe Kovacs,Lisa Goodman,Teqen Zéa-Aida,writeIns
Janne Flisrand,,83.95,38.94,73.53,98.69
Joe Kovacs,16.05,,11.06,22.04,92.25
Lisa Goodman,61.06,88.94,,73.15,98.60
Teqen Zéa-Aida,26.47,77.96,26.85,,98.12
writeIns,1.31,7.75,1.40,1.88,
