"condorcet winner: Crafts, Lydia V.","Crafts, Lydia V.","Levesque, David J.","Pieh, Wendy"
"Crafts, Lydia V.",,76.62,57.70
"Levesque, David J.",23.38,,31.23
"Pieh, Wendy",42.30,68.77,
