condorcet winner: RAFAEL MANDELMAN,LAWRENCE ''STARK'' DAGESSE,RAFAEL MANDELMAN
LAWRENCE ''STARK'' DAGESSE,,3598.00
RAFAEL MANDELMAN,38406.00,
