condorcet winner: VICKI HENNESSY,JOHN ROBINSON,ROSS MIRKARIMI,VICKI HENNESSY
JOHN ROBINSON,,36.38,12.00
ROSS MIRKARIMI,63.62,,34.85
VICKI HENNESSY,88.00,65.15,
