condorcet winner: MATT HANEY,CHRISTINE JOHNSON,MATT HANEY,SONJA TRAUSS
CHRISTINE JOHNSON,,9071.00,10825.00
MATT HANEY,15527.00,,16457.00
SONJA TRAUSS,8733.00,7735.00,
