condorcet winner: BENNY LEE,BENNY LEE,CHRIS CROW,DARLENE DAEVU,JUSTIN HUTCHISON,writeIns
BENNY LEE,,12945.00,12932.00,14807.00,16620.00
CHRIS CROW,8281.00,,9931.00,12304.00,14511.00
DARLENE DAEVU,7932.00,9301.00,,11749.00,14097.00
JUSTIN HUTCHISON,5319.00,6030.00,6329.00,,9324.00
writeIns,345.00,374.00,368.00,416.00,
