condorcet winner: LINDA MAIO,ANTHONY Di DONATO,JASPER KINGETER,LINDA MAIO,MERRILIE MITCHELL,writeIns
ANTHONY Di DONATO,,14.97,10.71,24.64,95.90
JASPER KINGETER,85.03,,28.92,67.77,99.01
LINDA MAIO,89.29,71.08,,80.07,99.29
MERRILIE MITCHELL,75.36,32.23,19.93,,98.25
writeIns,4.10,0.99,0.71,1.75,
