condorcet winner: NORMAN YEE,ANDREW BLEY,F. X. FRANCIS XAVIER CROWLEY,GLENN ROGERS,JOEL ENGARDIO,JULIAN P. LAGOS,LYNN GAVIN,MICHAEL GARCIA,NORMAN YEE,ROBERT J. SQUERI
ANDREW BLEY,,14.63,55.71,21.69,42.12,51.23,19.16,13.42,35.03
F. X. FRANCIS XAVIER CROWLEY,85.37,,87.88,65.94,81.86,86.09,59.43,49.73,77.89
GLENN ROGERS,44.29,12.12,,18.55,36.54,44.35,15.77,11.65,29.64
JOEL ENGARDIO,78.31,34.06,81.45,,71.54,78.08,44.08,35.04,65.71
JULIAN P. LAGOS,57.88,18.14,63.46,28.46,,59.64,24.11,14.57,42.06
LYNN GAVIN,48.77,13.91,55.65,21.92,40.36,,18.80,11.58,33.96
MICHAEL GARCIA,80.84,40.57,84.23,55.92,75.89,81.20,,40.60,72.70
NORMAN YEE,86.58,50.27,88.35,64.96,85.43,88.42,59.40,,77.48
ROBERT J. SQUERI,64.97,22.11,70.36,34.29,57.94,66.04,27.30,22.52,
