condorcet winner: Lisa Bender,Bruce Lundeen,David Schorn,Lisa Bender,Saralyn Romanishan,writeIns
Bruce Lundeen,,12.09,10.31,11.53,83.54
David Schorn,87.91,,20.66,34.99,97.31
Lisa Bender,89.69,79.34,,71.99,98.45
Saralyn Romanishan,88.47,65.01,28.01,,97.75
writeIns,16.46,2.69,1.55,2.25,
