"condorcet winner: Crafts, Dale John","Bennett, Adrienne","Brakey, Eric L.","Crafts, Dale John"
"Bennett, Adrienne",,58.29,42.01
"Brakey, Eric L.",41.71,,34.93
"Crafts, Dale John",57.99,65.07,
