condorcet winner: Jeremiah Ellison,Blong Yang,Cathy Spann,Jeremiah Ellison,Raeisha (RA) Williams,writeIns
Blong Yang,,2686.00,1769.00,2319.00,2823.00
Cathy Spann,760.00,,504.00,853.00,1331.00
Jeremiah Ellison,2313.00,2945.00,,2715.00,3144.00
Raeisha (RA) Williams,1387.00,1914.00,761.00,,2171.00
writeIns,31.00,51.00,27.00,46.00,
