condorcet winner: LIBBY SCHAAF,BRYAN PARKER,CHARLES R. WILLIAMS,COURTNEY RUBY,DAN SIEGEL,ERIC WILSON,JASON ANDERSON,JEAN QUAN,JOE TUMAN,KEN HOUSTON,LIBBY SCHAAF,NANCY SIDEBOTHAM,PAT MCCULLOUGH,PETER LIU,REBECCA KAPLAN,SAIED KARAMOOZ,SAMMUEL WASHINGTON
BRYAN PARKER,,23466.00,22443.00,21390.00,23577.00,23533.00,21133.00,17754.00,23495.00,15617.00,23599.00,23530.00,23555.00,20623.00,23601.00,23657.00
CHARLES R. WILLIAMS,3087.00,,3462.00,3123.00,3487.00,3511.00,3000.00,3244.00,3544.00,3237.00,3571.00,3527.00,3530.00,2844.00,3586.00,3615.00
COURTNEY RUBY,14382.00,15457.00,,14129.00,15562.00,15513.00,13942.00,10955.00,15574.00,8649.00,15518.00,15560.00,15504.00,13119.00,15580.00,15628.00
DAN SIEGEL,31055.00,32931.00,32398.00,,33110.00,32118.00,28340.00,29833.00,33124.00,24554.00,33237.00,33185.00,33168.00,26782.00,32519.00,33300.00
ERIC WILSON,2219.00,2320.00,2399.00,1838.00,,2410.00,2048.00,2273.00,2420.00,2151.00,2450.00,2456.00,2415.00,1873.00,2473.00,2501.00
JASON ANDERSON,3957.00,4035.00,4118.00,3002.00,4151.00,,3844.00,4003.00,4173.00,3749.00,4207.00,4169.00,4194.00,3470.00,4123.00,4227.00
JEAN QUAN,31818.00,33531.00,32901.00,28789.00,33643.00,33526.00,,30993.00,33651.00,24544.00,33705.00,33673.00,33613.00,27613.00,33688.00,33770.00
JOE TUMAN,31955.00,35682.00,33344.00,32447.00,35776.00,35741.00,32776.00,,35759.00,20859.00,35798.00,35761.00,35696.00,31404.00,35791.00,35868.00
KEN HOUSTON,1824.00,2038.00,2031.00,1834.00,2047.00,2077.00,1832.00,1843.00,,1769.00,2087.00,2085.00,2057.00,1755.00,2116.00,2138.00
LIBBY SCHAAF,53409.00,57439.00,55080.00,51118.00,57477.00,57312.00,51243.00,48993.00,57469.00,,57464.00,57449.00,57409.00,48806.00,57460.00,57567.00
NANCY SIDEBOTHAM,1544.00,1588.00,1371.00,1435.00,1585.00,1619.00,1400.00,1375.00,1610.00,1256.00,,1601.00,1580.00,1231.00,1608.00,1644.00
PAT MCCULLOUGH,1786.00,1931.00,1903.00,1714.00,1997.00,1966.00,1736.00,1738.00,2011.00,1713.00,2030.00,,1979.00,1648.00,2018.00,2063.00
PETER LIU,2467.00,2545.00,2499.00,2337.00,2552.00,2602.00,1760.00,2267.00,2586.00,2143.00,2595.00,2576.00,,2146.00,2575.00,2638.00
REBECCA KAPLAN,39493.00,42295.00,41457.00,35123.00,42492.00,42238.00,35386.00,37819.00,42472.00,28421.00,42574.00,42563.00,42543.00,,42540.00,42675.00
SAIED KARAMOOZ,2600.00,2662.00,2621.00,1919.00,2693.00,1602.00,2527.00,2503.00,2681.00,2350.00,2681.00,2679.00,2635.00,2294.00,,2716.00
SAMMUEL WASHINGTON,82.00,93.00,91.00,75.00,92.00,92.00,80.00,81.00,92.00,72.00,93.00,90.00,92.00,81.00,92.00,
