condorcet winner: JoAnne Vigil Coppler,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
Eric John Holmes,,2091.00,1828.00
Greg Scargall,2354.00,,1978.00
JoAnne Vigil Coppler,2791.00,2565.00,
