condorcet winner: LONDON BREED,ANDREW ''ELLARD'' RESIGNATO,CHRISTINA OLAGUE,DANIEL EVERETT,HOPE JOHNSON,JOHN RIZZO,JULIAN DAVIS,LONDON BREED,THEA SELBY
ANDREW ''ELLARD'' RESIGNATO,,2955.00,3303.00,3400.00,2911.00,2889.00,2482.00,2790.00
CHRISTINA OLAGUE,14696.00,,14505.00,14782.00,12624.00,12169.00,11668.00,13084.00
DANIEL EVERETT,4613.00,3926.00,,4584.00,3854.00,3912.00,3670.00,3976.00
HOPE JOHNSON,2902.00,2416.00,2797.00,,2579.00,2478.00,2124.00,2246.00
JOHN RIZZO,14630.00,11681.00,14349.00,14699.00,,12069.00,11579.00,12399.00
JULIAN DAVIS,13524.00,10722.00,13291.00,13679.00,11395.00,,10441.00,11948.00
LONDON BREED,17432.00,14945.00,17317.00,17652.00,15652.00,15616.00,,15276.00
THEA SELBY,13892.00,11977.00,13835.00,14014.00,10399.00,12175.00,10861.00,
