condorcet winner: Carol Kummer,Carol Kummer,Dan W. Peterson,Jason Stone,McClain Looney,Steve Barland,writeIns
Carol Kummer,,4669.00,3620.00,4756.00,3923.00,4830.00
Dan W. Peterson,707.00,,881.00,1142.00,862.00,1230.00
Jason Stone,3271.00,4099.00,,4236.00,3539.00,4330.00
McClain Looney,336.00,555.00,441.00,,496.00,648.00
Steve Barland,2337.00,3430.00,2501.00,3545.00,,3629.00
writeIns,55.00,67.00,53.00,62.00,61.00,
