condorcet winner: CATHERINE STEFANI,CATHERINE STEFANI,JOHN DENNIS,NICK JOSEFOWITZ,SCHUYLER HUDAK
CATHERINE STEFANI,,80.60,51.91,70.16
JOHN DENNIS,19.40,,22.24,28.94
NICK JOSEFOWITZ,48.09,77.76,,66.10
SCHUYLER HUDAK,29.84,71.06,33.90,
