condorcet winner: Bevan Dufty,Alix Amelia Rosenthal,Bevan Dufty,Starchild,writeIns
Alix Amelia Rosenthal,,9797.00,17435.00,19577.00
Bevan Dufty,21326.00,,24980.00,26799.00
Starchild,3617.00,3366.00,,11238.00
writeIns,3.00,3.00,3.00,
