condorcet winner: Joseph R. Biden,Amy Klobuchar,Andrew Yang,Bernie Sanders,Deval Patrick,Elizabeth Warren,Joseph R. Biden,Michael R.,Pete Buttigieg,Tom Steyer,Tulsi Gabbard,Uncommitted
Amy Klobuchar,,2024.00,1763.00,2098.00,1546.00,530.00,1961.00,1796.00,2082.00,2005.00,2097.00
Andrew Yang,2427.00,,1174.00,2490.00,1815.00,1667.00,2396.00,2345.00,2474.00,2179.00,2481.00
Bernie Sanders,18362.00,18236.00,,18454.00,16689.00,12337.00,18145.00,18254.00,18439.00,17744.00,18400.00
Deval Patrick,91.00,93.00,80.00,,77.00,47.00,94.00,86.00,98.00,85.00,97.00
Elizabeth Warren,9026.00,9035.00,4566.00,9302.00,,4939.00,9033.00,9027.00,9289.00,8936.00,9285.00
Joseph R. Biden,26396.00,26332.00,21215.00,26554.00,24356.00,,26196.00,26246.00,26519.00,25814.00,26497.00
Michael R.,2441.00,2450.00,2024.00,2503.00,2282.00,793.00,,2392.00,2486.00,2332.00,2494.00
Pete Buttigieg,2395.00,2499.00,1941.00,2602.00,2130.00,877.00,2398.00,,2598.00,2524.00,2600.00
Tom Steyer,474.00,449.00,291.00,494.00,374.00,249.00,435.00,463.00,,448.00,489.00
Tulsi Gabbard,4272.00,4161.00,2081.00,4298.00,3969.00,2973.00,4208.00,4254.00,4293.00,,4286.00
Uncommitted,2080.00,2001.00,911.00,2091.00,1758.00,1073.00,2015.00,2060.00,2083.00,1805.00,
