condorcet winner: JUMOKE HINTON HODGE,BENJAMIN LANG,JUMOKE HINTON HODGE,RICHARD FUENTES,writeIns
BENJAMIN LANG,,38.41,48.33,97.53
JUMOKE HINTON HODGE,61.59,,61.03,97.76
RICHARD FUENTES,51.67,38.97,,97.13
writeIns,2.47,2.24,2.87,
