condorcet winner: R.T. Rybak,Al Flowers,Bill McGaughey,Bob Carney Jr.,Christopher Clark,Dick Franson,James R. Everett,Joey Lombard,John Charles Wilson,Papa John Kolstad,R.T. Rybak,Tom Fiske,writeIns
Al Flowers,,9665.00,9679.00,9598.00,7449.00,9539.00,9552.00,9717.00,8691.00,3200.00,9357.00,9724.00
Bill McGaughey,1000.00,,1050.00,947.00,1007.00,1079.00,1042.00,1092.00,739.00,800.00,1068.00,1115.00
Bob Carney Jr.,1085.00,1130.00,,1037.00,1086.00,1146.00,1113.00,1154.00,827.00,752.00,1131.00,1183.00
Christopher Clark,3276.00,3413.00,3411.00,,3156.00,3432.00,3368.00,3477.00,2566.00,2471.00,3397.00,3485.00
Dick Franson,6594.00,9521.00,9534.00,9394.00,,9510.00,9486.00,9592.00,8747.00,2879.00,9403.00,9583.00
James R. Everett,1102.00,1315.00,1318.00,1237.00,1260.00,,1301.00,1322.00,1123.00,781.00,1268.00,1336.00
Joey Lombard,2678.00,3067.00,3060.00,2746.00,2791.00,3047.00,,3071.00,2319.00,1401.00,2849.00,3095.00
John Charles Wilson,466.00,481.00,489.00,453.00,479.00,487.00,452.00,,377.00,364.00,467.00,506.00
Papa John Kolstad,8988.00,9555.00,9565.00,9213.00,9053.00,9559.00,9467.00,9615.00,,6192.00,9426.00,9610.00
R.T. Rybak,35929.00,36885.00,36859.00,36631.00,36033.00,36797.00,36723.00,36922.00,35472.00,,36471.00,36916.00
Tom Fiske,2548.00,2907.00,2906.00,2848.00,2706.00,2861.00,2819.00,2901.00,2386.00,1287.00,,2932.00
writeIns,497.00,529.00,527.00,482.00,507.00,525.00,483.00,530.00,434.00,338.00,514.00,
