condorcet winner: STEPHEN H. CASSIDY,ANTHONY B. ''TONY'' SANTOS,JOHN R. PALAU,JOYCE RUTLEDGE STAROSCIAK,LOU FILIPOVICH,SARA M. MESTAS,STEPHEN H. CASSIDY,writeIns
ANTHONY B. ''TONY'' SANTOS,,13689.00,10254.00,13929.00,13250.00,10045.00,13916.00
JOHN R. PALAU,2516.00,,2546.00,3813.00,2918.00,1832.00,3801.00
JOYCE RUTLEDGE STAROSCIAK,8819.00,13385.00,,13706.00,12791.00,8585.00,13693.00
LOU FILIPOVICH,18.00,16.00,18.00,,17.00,10.00,18.00
SARA M. MESTAS,4164.00,5884.00,3929.00,6626.00,,3538.00,6620.00
STEPHEN H. CASSIDY,10277.00,14193.00,10598.00,14571.00,13764.00,,14566.00
writeIns,229.00,318.00,264.00,349.00,291.00,217.00,
