"condorcet winner: Golden, Jared F.","Fulford, Jonathan S.","Golden, Jared F.","Olson, Craig R.","St. Clair, Lucas R."
"Fulford, Jonathan S.",,5316.00,8222.00,6285.00
"Golden, Jared F.",33313.00,,30499.00,23611.00
"Olson, Craig R.",20144.00,8991.00,,10499.00
"St. Clair, Lucas R.",31254.00,19853.00,28028.00,
