condorcet winner: GEORGE GASCÓN,BILL FAZIO,DAVID ONEK,GEORGE GASCÓN,SHARMIN BOCK,VU VUONG TRINH
BILL FAZIO,,55471.00,44475.00,44271.00,73132.00
DAVID ONEK,73759.00,,60756.00,62271.00,80092.00
GEORGE GASCÓN,101991.00,100245.00,,91120.00,109615.00
SHARMIN BOCK,97930.00,76378.00,74474.00,,108219.00
VU VUONG TRINH,21296.00,21102.00,16286.00,15894.00,
