condorcet winner: Gavin Newsom,Ahimsa Porter Sumchai,Gavin Newsom,George Davis,Grasshopper Alec Kaplan,H. Brown,Harold M. Hoogasian,John Rinaldi,Josh Wolf,Lonnie S. Holmes,Michael Powers,Quintin Mecke,Wilma Pang,writeIns
Ahimsa Porter Sumchai,,8.69,80.27,70.48,76.48,45.48,66.10,66.20,66.28,81.29,40.47,38.49,99.82
Gavin Newsom,91.31,,98.35,96.78,97.84,91.25,93.64,95.46,96.32,98.42,89.82,91.60,99.97
George Davis,19.73,1.65,,35.92,44.27,16.27,27.75,30.03,31.20,51.90,18.47,12.66,99.29
Grasshopper Alec Kaplan,29.52,3.22,64.08,,58.07,25.19,39.29,43.38,44.31,66.98,27.35,22.45,99.60
H. Brown,23.52,2.16,55.73,41.93,,19.69,33.02,35.39,36.43,57.66,22.19,14.56,99.45
Harold M. Hoogasian,54.52,8.75,83.73,74.81,80.31,,65.15,69.27,70.09,85.01,52.40,44.98,99.85
John Rinaldi,33.90,6.36,72.25,60.71,66.98,34.85,,54.30,54.14,74.73,29.16,30.63,99.72
Josh Wolf,33.80,4.54,69.97,56.62,64.61,30.73,45.70,,50.30,70.66,30.88,25.77,99.69
Lonnie S. Holmes,33.72,3.68,68.80,55.69,63.57,29.91,45.86,49.70,,70.03,32.29,24.06,99.67
Michael Powers,18.71,1.58,48.10,33.02,42.34,14.99,25.27,29.34,29.97,,17.42,13.24,99.26
Quintin Mecke,59.53,10.18,81.53,72.65,77.81,47.60,70.84,69.12,67.71,82.58,,42.45,99.84
Wilma Pang,61.51,8.40,87.34,77.55,85.44,55.02,69.37,74.23,75.94,86.76,57.55,,99.88
writeIns,0.18,0.03,0.71,0.40,0.55,0.15,0.28,0.31,0.33,0.74,0.16,0.12,
