condorcet winner: Annie Young,Annie Young,Bob Fine,David Wahstedt,John Butler,John Erwin,Mary Merrill Anderson,Nancy Bernard,Phil Willkie,Tom Nordyke,writeIns
Annie Young,,13541.00,15201.00,15298.00,12178.00,13007.00,14518.00,15665.00,13835.00,15651.00
Bob Fine,11129.00,,12150.00,12415.00,11596.00,11360.00,12303.00,12712.00,11551.00,12703.00
David Wahstedt,4338.00,4192.00,,4613.00,4392.00,4437.00,4623.00,4861.00,4387.00,4857.00
John Butler,2602.00,2369.00,2671.00,,2715.00,2774.00,2734.00,3071.00,2765.00,3066.00
John Erwin,10515.00,11577.00,12461.00,12461.00,,10611.00,12549.00,12852.00,10840.00,12844.00
Mary Merrill Anderson,10250.00,11288.00,12898.00,13043.00,10703.00,,11886.00,13270.00,11389.00,13260.00
Nancy Bernard,3961.00,4856.00,5647.00,5691.00,5602.00,4746.00,,6002.00,5536.00,5995.00
Phil Willkie,1.00,1.00,1.00,1.00,1.00,1.00,0.00,,1.00,1.00
Tom Nordyke,8931.00,10335.00,11431.00,11623.00,7393.00,9377.00,11604.00,11890.00,,11888.00
writeIns,290.00,286.00,305.00,325.00,308.00,308.00,326.00,333.00,316.00,
