condorcet winner: URSULA REED,DAN DILLMAN,MORGAN MACK-ROSE,URSULA REED,writeIns
DAN DILLMAN,,6621.00,7116.00,17856.00
MORGAN MACK-ROSE,15741.00,,11871.00,20348.00
URSULA REED,16039.00,12057.00,,20893.00
writeIns,431.00,335.00,381.00,
