condorcet winner: ED LEE,AMY FARAH WEISS,ED LEE,FRANCISCO HERRERA,KENT GRAHAM,REED MARTIN,STUART SCHUFFMAN,writeIns
AMY FARAH WEISS,,33.49,50.79,76.02,81.52,61.11,99.90
ED LEE,66.51,,67.28,85.36,88.15,70.98,99.93
FRANCISCO HERRERA,49.21,32.72,,72.59,80.57,60.28,99.88
KENT GRAHAM,23.98,14.64,27.41,,59.11,34.07,99.72
REED MARTIN,18.48,11.85,19.43,40.89,,25.66,99.62
STUART SCHUFFMAN,38.89,29.02,39.72,65.93,74.34,,99.86
writeIns,0.10,0.07,0.12,0.28,0.38,0.14,
