condorcet winner: STEPHEN H. CASSIDY,ANTHONY B. ''TONY'' SANTOS,JOHN R. PALAU,JOYCE RUTLEDGE STAROSCIAK,LOU FILIPOVICH,SARA M. MESTAS,STEPHEN H. CASSIDY,writeIns
ANTHONY B. ''TONY'' SANTOS,,84.47,53.76,99.87,76.09,49.43,98.38
JOHN R. PALAU,15.53,,15.98,99.58,33.15,11.43,92.28
JOYCE RUTLEDGE STAROSCIAK,46.24,84.02,,99.87,76.50,44.75,98.11
LOU FILIPOVICH,0.13,0.42,0.13,,0.26,0.07,4.90
SARA M. MESTAS,23.91,66.85,23.50,99.74,,20.45,95.79
STEPHEN H. CASSIDY,50.57,88.57,55.25,99.93,79.55,,98.53
writeIns,1.62,7.72,1.89,95.10,4.21,1.47,
