condorcet winner: Andrew Johnson,Andrew Johnson,Harrison Bullard,Will Jaeger,writeIns
Andrew Johnson,,9191.00,8988.00,9587.00
Harrison Bullard,642.00,,1684.00,3279.00
Will Jaeger,1107.00,2563.00,,3779.00
writeIns,67.00,159.00,153.00,
