condorcet winner: DOUG WELTON,BRIAN V. HULET,CARY KENNETH STOCKWELL,DOUG WELTON,LINDA CARTER,SCOTT PINKHAM
BRIAN V. HULET,,70.54,38.34,53.78,79.11
CARY KENNETH STOCKWELL,29.46,,20.91,33.32,61.06
DOUG WELTON,61.66,79.09,,60.30,83.63
LINDA CARTER,46.22,66.68,39.70,,73.11
SCOTT PINKHAM,20.89,38.94,16.37,26.89,
