condorcet winner: SHENG THAO,CHARLIE MICHELSON,JOSEPH E. SIMMONS,JOSEPH TANIOS,MATT HUMMEL,NAYELI MAXSON,PAM HARRIS,SHENG THAO
CHARLIE MICHELSON,,65.45,71.55,61.07,27.04,22.35,22.97
JOSEPH E. SIMMONS,34.55,,56.43,45.07,16.91,10.91,13.56
JOSEPH TANIOS,28.45,43.57,,38.43,12.59,10.79,10.51
MATT HUMMEL,38.93,54.93,61.57,,18.71,14.35,15.27
NAYELI MAXSON,72.96,83.09,87.41,81.29,,40.89,36.91
PAM HARRIS,77.65,89.09,89.21,85.65,59.11,,45.91
SHENG THAO,77.03,86.44,89.49,84.73,63.09,54.09,
