"condorcet winner: Crafts, Lydia V.","Crafts, Lydia V.","Levesque, David J.","Pieh, Wendy"
"Crafts, Lydia V.",,1416.00,1143.00
"Levesque, David J.",432.00,,589.00
"Pieh, Wendy",838.00,1297.00,
