condorcet winner: ED LEE,AMY FARAH WEISS,ED LEE,FRANCISCO HERRERA,KENT GRAHAM,REED MARTIN,STUART SCHUFFMAN,writeIns
AMY FARAH WEISS,,56791.00,50556.00,70996.00,72390.00,58097.00,77014.00
ED LEE,112777.00,,113191.00,115678.00,116692.00,115085.00,118302.00
FRANCISCO HERRERA,48975.00,55041.00,,66522.00,67877.00,55909.00,70661.00
KENT GRAHAM,22396.00,19835.00,25118.00,,28572.00,27017.00,31256.00
REED MARTIN,16410.00,15682.00,16368.00,19769.00,,18711.00,22983.00
STUART SCHUFFMAN,36975.00,47056.00,36838.00,52283.00,54202.00,,56949.00
writeIns,76.00,84.00,82.00,88.00,87.00,80.00,
