condorcet winner: CRISTY WELSH,ANTHONY JENKINS,CRISTY WELSH,DAVID LAURET,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,KEITH KUDER,TAY GUDMUNDSON
ANTHONY JENKINS,,263.00,409.00,317.00,557.00,580.00,540.00
CRISTY WELSH,742.00,,675.00,586.00,813.00,786.00,848.00
DAVID LAURET,543.00,354.00,,348.00,645.00,706.00,623.00
G. TYCE FLAKE,678.00,458.00,654.00,,763.00,775.00,771.00
HECTOR RAFAEL HERNANDEZ,337.00,193.00,288.00,229.00,,543.00,394.00
KEITH KUDER,335.00,243.00,224.00,224.00,319.00,,344.00
TAY GUDMUNDSON,339.00,144.00,302.00,214.00,451.00,514.00,
