condorcet winner: Brad Bourn,Bob Fine,Brad Bourn,Jennifer Zielinski,"Robert M Schlosser ""Bob""",writeIns
Bob Fine,,49.09,75.17,87.52,98.57
Brad Bourn,50.91,,71.17,83.45,98.64
Jennifer Zielinski,24.83,28.83,,74.55,96.56
"Robert M Schlosser ""Bob""",12.48,16.55,25.45,,92.70
writeIns,1.43,1.36,3.44,7.30,
