condorcet winner: BETSY HODGES,"ABDUL M RAHAMAN ""THE ROCK""",ALICIA K. BENNETT,BETSY HODGES,BILL KAHN,"BOB ""AGAIN"" CARNEY JR",BOB FINE,CAM WINTON,CAPTAIN JACK SPARROW,CHRISTOPHER CLARK,CHRISTOPHER ROBIN ZIMMERMAN,CYD GORMAN,DAN COHEN,DON SAMUELS,DOUG MANN,EDMUND BERNARD BRUYERE,GREGG A. IVERSON,JACKIE CHERRYHOMES,"JAMES ""JIMMY"" L. STROUD, JR.",JAMES EVERETT,JAYMIE KELLY,JEFFREY ALAN WAGNER,JOHN CHARLES WILSON,JOHN LESLIE HARTWIG,JOSHUA REA,KURTIS W. HANNA,MARK ANDREW,MARK V ANDERSON,MERRILL ANDERSON,MIKE GOULD,NEAL BAXTER,OLE SAVIOR,RAHN V. WORKCUFF,STEPHANIE WOODRUFF,TONY LANE,TROY BENJEGERDES,writeIns
"ABDUL M RAHAMAN ""THE ROCK""",,899.00,723.00,914.00,915.00,903.00,891.00,878.00,914.00,914.00,917.00,904.00,808.00,910.00,920.00,911.00,866.00,914.00,909.00,911.00,914.00,917.00,919.00,904.00,912.00,763.00,896.00,913.00,908.00,919.00,905.00,919.00,905.00,917.00,911.00,918.00
ALICIA K. BENNETT,1788.00,,1209.00,1797.00,1803.00,1713.00,1755.00,1797.00,1800.00,1799.00,1804.00,1773.00,1596.00,1777.00,1803.00,1779.00,1551.00,1800.00,1788.00,1786.00,1744.00,1805.00,1801.00,1792.00,1802.00,1288.00,1781.00,1794.00,1742.00,1799.00,1801.00,1805.00,1657.00,1797.00,1798.00,1802.00
BETSY HODGES,49566.00,49460.00,,49605.00,49607.00,48347.00,47429.00,49513.00,49607.00,49602.00,49611.00,48965.00,42991.00,49065.00,49598.00,49597.00,47180.00,49612.00,49430.00,49428.00,49578.00,49615.00,49601.00,49601.00,49525.00,38870.00,49222.00,49604.00,49578.00,49553.00,49582.00,49610.00,48887.00,49517.00,49540.00,49584.00
BILL KAHN,407.00,430.00,375.00,,435.00,418.00,391.00,423.00,434.00,434.00,437.00,407.00,408.00,430.00,438.00,439.00,419.00,433.00,432.00,436.00,438.00,438.00,436.00,433.00,435.00,367.00,427.00,436.00,428.00,433.00,412.00,438.00,428.00,435.00,436.00,438.00
"BOB ""AGAIN"" CARNEY JR",316.00,316.00,241.00,318.00,,302.00,281.00,299.00,318.00,322.00,317.00,298.00,279.00,308.00,322.00,319.00,307.00,319.00,314.00,319.00,321.00,323.00,319.00,320.00,314.00,263.00,315.00,321.00,323.00,318.00,318.00,323.00,315.00,317.00,321.00,323.00
BOB FINE,10241.00,10203.00,6030.00,10248.00,10249.00,,8923.00,10218.00,10241.00,10248.00,10256.00,9819.00,8395.00,10169.00,10258.00,10224.00,9547.00,10256.00,10228.00,10241.00,10236.00,10258.00,10255.00,10255.00,10240.00,7289.00,10090.00,10256.00,10217.00,10239.00,10210.00,10251.00,9988.00,10245.00,10246.00,10253.00
CAM WINTON,14935.00,14921.00,11034.00,14932.00,14936.00,14275.00,,14917.00,14865.00,14881.00,14934.00,14286.00,12942.00,14888.00,14926.00,14935.00,14336.00,14937.00,14917.00,14927.00,14930.00,14937.00,14925.00,14934.00,14899.00,12575.00,14770.00,14930.00,14930.00,14915.00,14811.00,14931.00,14689.00,14930.00,14927.00,14929.00
CAPTAIN JACK SPARROW,2238.00,2232.00,1390.00,2257.00,2248.00,2128.00,1884.00,,2240.00,2245.00,2262.00,2069.00,1883.00,2201.00,2265.00,2254.00,2115.00,2264.00,2235.00,2247.00,2237.00,2261.00,2259.00,2254.00,2216.00,1704.00,2196.00,2255.00,2247.00,2250.00,2201.00,2258.00,2183.00,2246.00,2255.00,2254.00
CHRISTOPHER CLARK,1154.00,1149.00,1074.00,1150.00,1153.00,1128.00,630.00,1134.00,,970.00,1151.00,1042.00,1104.00,1140.00,1154.00,1152.00,1128.00,1152.00,1148.00,1155.00,1151.00,1151.00,1142.00,1155.00,1130.00,1093.00,1102.00,1151.00,1151.00,1137.00,994.00,1145.00,1126.00,1149.00,1153.00,1149.00
CHRISTOPHER ROBIN ZIMMERMAN,1014.00,1017.00,930.00,1012.00,1014.00,966.00,620.00,1002.00,846.00,,1012.00,923.00,969.00,1006.00,1015.00,1013.00,986.00,1015.00,1008.00,1013.00,1015.00,1016.00,1007.00,1016.00,994.00,964.00,964.00,1008.00,1016.00,1002.00,897.00,1010.00,1007.00,1014.00,1013.00,1016.00
