condorcet winner: PATRICIA KERNIGHAN,JENNIFER S. PAE,PATRICIA KERNIGHAN,writeIns
JENNIFER S. PAE,,4617.00,9141.00
PATRICIA KERNIGHAN,8966.00,,11236.00
writeIns,251.00,234.00,
