condorcet winner: GEORGE GASCÓN,BILL FAZIO,DAVID ONEK,GEORGE GASCÓN,SHARMIN BOCK,VU VUONG TRINH
BILL FAZIO,,42.92,30.37,31.13,77.45
DAVID ONEK,57.08,,37.74,44.91,79.15
GEORGE GASCÓN,69.63,62.26,,55.03,87.06
SHARMIN BOCK,68.87,55.09,44.97,,87.19
VU VUONG TRINH,22.55,20.85,12.94,12.81,
