condorcet winner: Abdi Warsame,Abdi Warsame,Fadumo Yusuf,Mohamud Noor,Tiffini Forslund,writeIns
Abdi Warsame,,4754.00,3668.00,4915.00,4908.00
Fadumo Yusuf,352.00,,289.00,1017.00,1017.00
Mohamud Noor,3443.00,4164.00,,4286.00,4284.00
Tiffini Forslund,8.00,11.00,6.00,,11.00
writeIns,72.00,158.00,44.00,178.00,
