condorcet winner: LARRY E. REID,BEVERLY WILLIAMS,LARRY E. REID,SHERYL WALTON,writeIns
BEVERLY WILLIAMS,,3199.00,3129.00,8595.00
LARRY E. REID,10236.00,,9085.00,12222.00
SHERYL WALTON,8121.00,5427.00,,10309.00
writeIns,326.00,226.00,231.00,
