condorcet winner: LOREN TAYLOR,DESLEY BROOKS,LOREN TAYLOR,MARLO RODRIGUEZ,MYA WHITAKER,NATASHA MIDDLETON
DESLEY BROOKS,,5483.00,6515.00,5983.00,6331.00
LOREN TAYLOR,9858.00,,10571.00,9729.00,10079.00
MARLO RODRIGUEZ,5423.00,3742.00,,4597.00,4446.00
MYA WHITAKER,7504.00,5397.00,8189.00,,6681.00
NATASHA MIDDLETON,7283.00,4058.00,7530.00,6641.00,
