condorcet winner: Dale Washam,Barbara Gelman,Bernardo Tuma,Beverly Davidson,Dale Washam,Jan Shabro,Terry Lee,writeIns
Barbara Gelman,,68.80,63.91,48.07,46.57,47.75,98.39
Bernardo Tuma,31.20,,38.64,27.75,26.94,27.33,96.55
Beverly Davidson,36.09,61.36,,38.97,36.82,39.18,97.78
Dale Washam,51.93,72.25,61.03,,50.59,52.26,98.54
Jan Shabro,53.43,73.06,63.18,49.41,,49.66,98.56
Terry Lee,52.25,72.67,60.82,47.74,50.34,,98.46
writeIns,1.61,3.45,2.22,1.46,1.44,1.54,
