condorcet winner: NINA SENN,CHERI SPIGNER,KARL DEBRO,NINA SENN,SALEEM SHAKIR-GILMORE
CHERI SPIGNER,,3006.00,2810.00,3411.00
KARL DEBRO,9920.00,,7084.00,8145.00
NINA SENN,10487.00,7802.00,,8786.00
SALEEM SHAKIR-GILMORE,8261.00,5787.00,5266.00,
