condorcet winner: COURTNEY RUBY,COURTNEY RUBY,MICHAEL KILIAN,writeIns
COURTNEY RUBY,,65534.00,85006.00
MICHAEL KILIAN,31372.00,,67430.00
writeIns,2041.00,2293.00,
