condorcet winner: Jacob Frey,Al Flowers,Aswar Rahman,Betsy Hodges,Captain Jack Sparrow,Charlie Gers,Christopher Zimmerman,David John Wilson,David Rosenfeld,Gregg A. Iverson,Ian Simpson,Jacob Frey,L.A. Nik,Nekima Levy-Pounds,Raymond Dehn,Ronald Lischeid,Theron Preston Washington,Tom Hoch,Troy Benjegerdes,writeIns
Al Flowers,,5127.00,4158.00,5297.00,5342.00,5378.00,5350.00,5326.00,5298.00,5368.00,4321.00,5329.00,3444.00,4229.00,5357.00,5378.00,4050.00,5351.00,5372.00
Aswar Rahman,5104.00,,4185.00,5268.00,5261.00,5325.00,5295.00,5249.00,5265.00,5313.00,3908.00,5293.00,3724.00,4303.00,5301.00,5325.00,3884.00,5301.00,5323.00
Betsy Hodges,49427.00,49501.00,,49758.00,49766.00,49901.00,49850.00,49698.00,49679.00,49875.00,37713.00,49835.00,38090.00,37523.00,49843.00,49901.00,40910.00,49862.00,49885.00
Captain Jack Sparrow,4066.00,4070.00,3446.00,,3995.00,4198.00,4079.00,4034.00,4122.00,4136.00,2931.00,4060.00,3228.00,3275.00,4140.00,4198.00,2828.00,4151.00,4187.00
Charlie Gers,2998.00,2980.00,2796.00,2962.00,,3041.00,3008.00,3002.00,2996.00,3006.00,2395.00,2824.00,2891.00,2883.00,2952.00,3041.00,2182.00,3016.00,3033.00
Christopher Zimmerman,3.00,3.00,3.00,3.00,3.00,,3.00,3.00,3.00,3.00,3.00,3.00,1.00,3.00,3.00,3.00,1.00,3.00,3.00
David John Wilson,1617.00,1608.00,1389.00,1470.00,1543.00,1664.00,,1599.00,1645.00,1643.00,1236.00,1583.00,1366.00,1386.00,1617.00,1664.00,1153.00,1645.00,1658.00
David Rosenfeld,2449.00,2434.00,2085.00,2400.00,2452.00,2502.00,2473.00,,2463.00,2490.00,2107.00,2470.00,1687.00,1663.00,2472.00,2502.00,2151.00,2484.00,2497.00
Gregg A. Iverson,2674.00,2694.00,1977.00,2729.00,2711.00,2759.00,2748.00,2730.00,,2750.00,1534.00,2729.00,2371.00,2510.00,2729.00,2759.00,1831.00,2742.00,2757.00
Ian Simpson,825.00,833.00,733.00,761.00,717.00,853.00,822.00,824.00,836.00,,697.00,754.00,741.00,732.00,795.00,853.00,661.00,836.00,850.00
Jacob Frey,54453.00,54359.00,45837.00,54616.00,54482.00,54769.00,54692.00,54652.00,54557.00,54737.00,,54614.00,47380.00,46716.00,54693.00,54769.00,41675.00,54720.00,54750.00
L.A. Nik,2295.00,2288.00,2162.00,2204.00,1939.00,2347.00,2302.00,2314.00,2326.00,2315.00,1879.00,,2173.00,2146.00,2241.00,2347.00,1629.00,2318.00,2338.00
Nekima Levy-Pounds,43558.00,43552.00,33530.00,43845.00,43889.00,43951.00,43905.00,43726.00,43836.00,43936.00,35520.00,43903.00,,29963.00,43917.00,43952.00,37657.00,43915.00,43946.00
Raymond Dehn,43720.00,43755.00,35134.00,43992.00,44000.00,44094.00,44064.00,43907.00,43985.00,44075.00,34971.00,44052.00,34121.00,,44057.00,44095.00,36738.00,44044.00,44086.00
Ronald Lischeid,1268.00,1257.00,1169.00,1253.00,1118.00,1304.00,1270.00,1247.00,1271.00,1269.00,1113.00,1164.00,1171.00,1189.00,,1304.00,988.00,1274.00,1301.00
Theron Preston Washington,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,,1.00,1.00,1.00
Tom Hoch,46591.00,46604.00,39707.00,46858.00,46691.00,47007.00,46949.00,46891.00,46833.00,46970.00,31226.00,46835.00,41623.00,40647.00,46918.00,47007.00,,46965.00,46992.00
Troy Benjegerdes,747.00,752.00,671.00,751.00,736.00,781.00,764.00,744.00,746.00,764.00,625.00,749.00,700.00,677.00,756.00,781.00,586.00,,778.00
writeIns,649.00,652.00,571.00,637.00,593.00,665.00,662.00,651.00,662.00,659.00,508.00,630.00,535.00,538.00,657.00,665.00,495.00,663.00,
