condorcet winner: ABEL GUILLEN,ABEL GUILLEN,ANDREW PARK,DANA KING,KEN MAXEY,KEVIN BLACKBURN
ABEL GUILLEN,,61.50,53.03,88.50,70.88
ANDREW PARK,38.50,,42.69,86.97,60.92
DANA KING,46.97,57.31,,89.08,68.04
KEN MAXEY,11.50,13.03,10.92,,19.96
KEVIN BLACKBURN,29.12,39.08,31.96,80.04,
