condorcet winner: AARON PESKIN,AARON PESKIN,JULIE CHRISTENSEN,WILMA PANG
AARON PESKIN,,8921.00,10016.00
JULIE CHRISTENSEN,7495.00,,9107.00
WILMA PANG,2848.00,2980.00,
