"condorcet winner: Nolan, Patricia M.","Fantini, Alfred B.","Forster, Bill","Gerber, Joyce C.","Harding, Jr., Richard","Holland, John J.","McGovern, Marc C.","Nolan, Patricia M.","Osborne, Mervan F.","Stead, Sr., Charles Lewis","Tauber, Nancy","Turkel, Alice L.",writeIns
"Fantini, Alfred B.",,77.12,69.68,50.27,75.70,45.22,42.66,49.97,78.39,42.00,42.18,98.66
"Forster, Bill",22.88,,43.45,24.40,49.81,20.04,18.34,24.87,54.38,18.85,18.45,96.91
"Gerber, Joyce C.",30.32,56.55,,30.18,57.83,26.07,22.29,30.65,62.51,23.29,23.08,97.53
"Harding, Jr., Richard",49.73,75.60,69.82,,74.50,45.19,42.87,51.90,80.56,43.83,43.23,98.76
"Holland, John J.",24.30,50.19,42.17,25.50,,22.81,21.19,28.09,56.94,22.34,22.17,97.09
"McGovern, Marc C.",54.78,79.96,73.93,54.81,77.19,,48.81,56.26,81.56,50.55,49.01,98.85
"Nolan, Patricia M.",57.34,81.66,77.71,57.13,78.81,51.19,,59.32,81.97,53.35,50.97,98.94
"Osborne, Mervan F.",50.03,75.13,69.35,48.10,71.91,43.74,40.68,,78.16,45.53,44.47,98.61
"Stead, Sr., Charles Lewis",21.61,45.62,37.49,19.44,43.06,18.44,18.03,21.84,,20.32,19.52,96.74
"Tauber, Nancy",58.00,81.15,76.71,56.17,77.66,49.45,46.65,54.47,79.68,,49.79,98.90
"Turkel, Alice L.",57.82,81.55,76.92,56.77,77.83,50.99,49.03,55.53,80.48,50.21,,98.88
writeIns,1.34,3.09,2.47,1.24,2.91,1.15,1.06,1.39,3.26,1.10,1.12,
