condorcet winner: BLONG YANG,BLONG YANG,BRETT BUCKNER,IAN ALEXANDER,KALE R. SEVERSON,writeIns
BLONG YANG,,2065.00,1842.00,2541.00,2732.00
BRETT BUCKNER,1126.00,,1202.00,1867.00,2026.00
IAN ALEXANDER,1394.00,1564.00,,2055.00,2204.00
KALE R. SEVERSON,452.00,552.00,532.00,,823.00
writeIns,26.00,34.00,39.00,35.00,
